name,city,statenam,state,year,rincpc,econgrow,unemp,citypop,a0_5,a5_9,a10_14,a15_19,a20_24,a25_29,citybla,cityfemh,sta_educ,sta_welf,price,sworn,civil,elecyear,governor,term2,term3,termlim,mayor,murder,rape,robbery,assault,burglary,larceny,auto
albuquerque,1,nm,31,1985,10.40612793,0.028482437,0.088579953,357051,0.078156948,0.075167954,0.073950231,0.082031608,0.09022373,0.096035659,2.75,11.6499939,926.1630859,166.6452637,1.07599926,0.18036639,0.12939328,1,0,0,0,1,1,0.011763025,0.066657144,0.349249827,0.722025705,2.572741709,5.023091939,0.541099171
albuquerque,1,nm,31,1986,10.44660187,0.00388217,0.091419995,364196,0.078286409,0.075446784,0.07273823,0.078985393,0.087460577,0.095367908,2.799999237,11.73999786,976.0361328,180.3813477,1.095999718,0.187536382,0.101868225,0,1,0,0,1,0,0.013454294,0.067820624,0.342672627,0.754538765,2.676031587,5.35151402,0.545859922
albuquerque,1,nm,31,1987,10.47952271,0.00314641,0.08791995,371756,0.078412414,0.075718224,0.071558356,0.076019943,0.084770739,0.094717801,2.849998474,11.8299942,887.9311523,193.5913086,1.13599968,0.190985485,0.098720666,0,0,0,0,1,0,0.012911695,0.056757658,0.265496724,0.699114473,2.680521632,5.625464014,0.61465047
albuquerque,1,nm,31,1988,10.51902008,0.003761053,0.078249991,378176,0.07853514,0.075982511,0.070409298,0.073132098,0.082151294,0.09408474,2.899999619,11.91999817,881.1362305,207.12854,1.182999611,0.192767389,0.098102471,0,0,0,0,1,0,0.01295693,0.050241158,0.245388391,0.821839567,2.919804535,5.539748688,0.715275427
albuquerque,1,nm,31,1989,10.64192963,0.011617422,0.066079974,384801,0.078654647,0.076240003,0.069289982,0.070318878,0.0795995,0.09346801,2.949998856,12.00999451,916.9350586,209.6773682,1.239999771,0.197504684,0.101091213,1,0,0,0,1,1,0.010654858,0.046257676,0.268190571,0.895267944,2.513506982,5.631482247,0.599270792
albuquerque,1,nm,31,1990,10.8862915,0.022701979,0.062749982,384736,0.078771114,0.076490939,0.068199217,0.067577362,0.077112794,0.092867017,3,12.09999847,943.3813477,231.8286133,1.306999207,0.206115362,0.101368211,0,1,0,0,1,0,0.008837229,0.057701905,0.267716044,0.996787407,2.468445895,5.751996174,0.51281918
albuquerque,1,nm,31,1991,,,0.068999946,393148,0.078884721,0.076735556,0.06713593,0.064904869,0.074688733,0.092281163,3.049999237,12.18999481,973.4316406,270.8486328,,0.204248782,0.094620855,0,0,0,0,1,0,0.012972214,0.066387213,0.332444779,1.010306551,2.632087662,5.601961602,0.62826213
albuquerque,1,nm,31,1992,,,0.067999959,401529,0.078995407,0.076974034,0.066099048,0.062298864,0.072324872,0.091709912,3.099998474,12.27999878,1003.481445,309.8686523,,0.196000787,0.075710596,0,0,0,0,1,0,0.010460017,0.073220116,0.3636101,1.088837917,2.167962962,5.039735611,0.723484481
atlanta,2,ga,10,1970,8.703605652,0.01457715,0.040779978,495000,0.093136966,0.102562547,0.102680385,0.090309262,0.089131057,0.083240032,51.5,21.29998779,585.0512695,141.7525635,0.388000011,0.191919192,0.032121212,0,1,0,0,1,0,0.048888889,0.040808081,0.429494949,0.263434343,2.329090909,4.033333333,0.954343434
atlanta,2,ga,10,1971,8.940734863,0.026880741,0.038809985,480333.25,0.090583622,0.09978652,0.100578308,0.090302467,0.08960247,0.085003853,53.00997925,21.36000061,604.9379883,180.2468262,0.404999971,0.242748134,0.035600284,0,0,0,0,1,0,0.047883423,0.055794597,0.459472668,0.402845316,2.857599385,3.810063118,0.839833595
atlanta,2,ga,10,1972,9.583724976,0.069448471,0.040519983,497600,0.088159919,0.097151518,0.098583043,0.09029603,0.090049982,0.086678147,54.51998901,21.41999817,614.8325195,203.3492432,0.417999983,0.249799035,0.044614148,0,0,0,0,1,0,0.051245981,0.051446945,0.617765273,0.430667203,2.949356913,3.578175241,0.834003215
atlanta,2,ga,10,1973,10.04279327,0.046788216,0.039519995,499000,0.085856378,0.09464705,0.096686542,0.090289891,0.090475261,0.088269413,56.02999878,21.47999573,599.0991211,234.2342529,0.443999767,0.292184369,0.03987976,1,0,0,0,1,1,0.052705411,0.093787575,0.829659319,0.531062124,3.186573146,3.354509018,0.981362725
atlanta,2,ga,10,1974,9.809326172,-0.023520947,0.054529995,490767,0.083664119,0.092263639,0.094881773,0.09028405,0.090880036,0.089783788,57.53997803,21.53999329,590.2636719,180.5273438,0.492999792,0.323167613,0.062758906,0,1,0,0,1,0,0.050533145,0.08965558,0.887794004,0.686476475,3.423620578,3.93669501,0.838279672
atlanta,2,ga,10,1975,9.531593323,-0.028721809,0.085899949,490584,0.081575394,0.089992702,0.093162179,0.090278447,0.091265678,0.091226697,59.04998779,21.59999084,617.1000977,189.5910645,0.53799963,0.288431747,0.092338927,0,0,0,0,0,0,0.037710158,0.09030054,0.792320989,0.717104512,2.955864847,4.609200463,0.761949024
atlanta,2,ga,10,1976,9.93145752,0.04109478,0.081139982,457300,0.07958293,0.08782649,0.091521859,0.090273142,0.091633558,0.092603087,60.55999756,21.6599884,623.9013672,173.9893799,0.568999767,0.273562213,0.073256068,0,0,0,0,0,0,0.033675924,0.104307894,0.739120927,0.769298054,2.723595014,5.701946206,0.753990816
atlanta,2,ga,10,1977,10.15346527,0.02210784,0.069059968,440300,0.07768029,0.085757911,0.089955509,0.090268075,0.091984868,0.093917429,62.06997681,21.71998596,608.9106445,168.3167725,0.605999947,0.278219396,0.074494663,1,0,0,0,0,1,0.031342267,0.115830116,0.76175335,0.816034522,2.792414263,5.121280945,0.717238247
atlanta,2,ga,10,1978,10.57361603,0.040547132,0.05666998,456000,0.075861514,0.083780527,0.08845818,0.090263247,0.092320621,0.095173836,63.57998657,21.77999878,595.0917969,171.7790527,0.65199995,0.245175439,0.057236842,0,1,0,0,0,0,0.031578947,0.129824561,0.903289474,0.875,3.33004386,5.674122807,0.869736842
